year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,4,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",86.0,9.0,3.12,0.0,2.15,0.0,3.73,0.0,0.0,486.0,231.0,0.0,64.0,0.0,191.0
2024,4,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",60.0,9.0,2.53,0.0,3.77,0.0,2.7,0.0,1.0,603.0,185.0,0.0,173.0,0.0,245.0
2024,4,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",156.0,16.0,10.57,0.0,2.2,0.0,3.23,0.0,0.0,703.0,465.0,0.0,123.0,0.0,115.0
2024,4,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",115.0,16.0,8.0,0.98,2.72,0.0,4.31,0.0,0.0,865.0,517.0,41.0,88.0,0.0,219.0
2024,4,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2032.0,241.0,60.87,12.49,56.98,0.0,110.66,3.0,1.0,16233.0,5737.0,1528.0,1745.0,0.0,7223.0
2024,4,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0
2024,4,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",77.0,11.0,4.59,0.0,4.13,0.0,2.28,0.0,0.0,588.0,336.0,0.0,100.0,0.0,152.0
2024,4,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",49.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,279.0,197.0,0.0,82.0,0.0,0.0
2024,4,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",56.0,6.0,2.03,0.0,3.12,0.0,0.85,1.0,0.0,213.0,82.0,0.0,92.0,0.0,39.0
2024,4,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.0,3.0,1.04,0.0,0.31,0.0,1.65,0.0,0.0,89.0,25.0,0.0,13.0,0.0,51.0
2024,4,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",84.0,13.0,4.57,0.0,2.81,0.0,5.62,4.0,0.0,437.0,162.0,0.0,101.0,0.0,174.0
2024,4,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",95.0,13.0,2.27,1.91,2.5,0.0,6.32,1.0,0.0,898.0,103.0,55.0,130.0,0.0,610.0
2024,4,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",60.0,7.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,156.0,66.0,0.0,71.0,0.0,19.0
2024,4,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",154.0,20.0,6.61,0.0,4.08,0.0,9.31,3.0,0.0,1145.0,361.0,0.0,150.0,0.0,634.0
2024,4,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",15.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,78.0,0.0,17.0,0.0,0.0
2024,4,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",142.0,14.0,3.03,0.17,1.8,0.0,9.0,5.0,1.0,1546.0,156.0,9.0,121.0,0.0,1260.0
2024,4,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",193.0,16.0,4.4,1.55,4.73,0.0,5.32,1.0,1.0,668.0,227.0,60.0,197.0,0.0,184.0
2024,4,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",60.0,12.0,2.44,0.0,3.94,0.0,5.62,2.0,0.0,478.0,182.0,0.0,91.0,0.0,205.0
2024,4,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",93.0,18.0,4.56,0.0,5.82,0.0,7.62,0.0,0.0,866.0,255.0,0.0,264.0,0.0,347.0
2024,4,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",68.0,11.0,3.34,1.76,1.61,0.0,4.29,0.0,0.0,523.0,141.0,99.0,48.0,0.0,235.0
2024,4,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",134.0,24.0,8.13,0.0,7.07,0.0,8.8,2.0,0.0,1573.0,653.0,0.0,418.0,0.0,502.0
2024,4,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",131.0,15.0,5.29,0.0,4.59,0.0,5.12,1.0,0.0,1098.0,451.0,0.0,259.0,0.0,388.0
2024,4,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0
