,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hawaiian  ,90.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SkyWest  ,87.59,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Southwest ,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,JetBlue ,84.34,,,,,,,,,,,,,,,,,,,,,,,,,,
5,United ,83.34,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Northwest ,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Delta ,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Continental ,82.02,,,,,,,,,,,,,,,,,,,,,,,,,,
9,America West,81.99,,,,,,,,,,,,,,,,,,,,,,,,,,
10,American  ,81.72,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alaska  ,81.04,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ATA,79.98,,,,,,,,,,,,,,,,,,,,,,,,,,
13,US Airways,79.71,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ExpressJet  ,79.52,,,,,,,,,,,,,,,,,,,,,,,,,,
15,American Eagle ,78.58,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AirTran,77.92,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Atlantic Southeast ,75.41,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Independence,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Airlines,81.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carrier,On-Time Arrival Pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,93.87,1,,,,,,,,,,,,,,,,,,,,,,,,,
,SkyWest  ,82.7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,JetBlue ,81.78,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwest ,80.06,4,,,,,,,,,,,,,,,,,,,,,,,,,
,ATA,79.81,5,,,,,,,,,,,,,,,,,,,,,,,,,
,United ,79.74,6,,,,,,,,,,,,,,,,,,,,,,,,,
,US Airways,79.23,7,,,,,,,,,,,,,,,,,,,,,,,,,
,Northwest ,79.09,8,,,,,,,,,,,,,,,,,,,,,,,,,
,Continental ,78.88,9,,,,,,,,,,,,,,,,,,,,,,,,,
,AirTran,77.74,10,,,,,,,,,,,,,,,,,,,,,,,,,
,Comair,77.25,11,,,,,,,,,,,,,,,,,,,,,,,,,
,ExpressJet  ,76.94,12,,,,,,,,,,,,,,,,,,,,,,,,,
,American  ,76.78,13,,,,,,,,,,,,,,,,,,,,,,,,,
,Alaska  ,76.47,14,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,76.32,15,,,,,,,,,,,,,,,,,,,,,,,,,
